Block_Device File Inode Blocks
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_ATT_Configure_RAT_switch_reject_cause_15.tlv" 641 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/dsp_fw_release.bin" 508 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/nb/libcamera_client.so" 908 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libstagefright_soft_mp3dec_mdp.so" 1054 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/SF_LTE_CONF_3.xml" 333 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libinput.so" 1134 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/nb/libbinder.so" 1201 
/dev/block/mmcblk0p8 179:8 "/vendor/app/AwareHubPluginsAwareService/AwareHubPluginsAwareService.apk" 28 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/clbltfns9_img_cbk.rtl" 939 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_ATT_DAM_activation.tlv" 554 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libia_nvm.so" 998 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_rx_diversity.tlv" 700 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libstagefright_avc_common.so" 1172 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov8858.Sf3g_cc_mrd5_p2.aiqb" 167 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/clbltfnu8_img_cbk.o" 1238 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov5693.cht_rvp.aiqb" 163 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/hash" 724 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/mmgr_7260_conf_3.xml" 460 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/ipu4_cpd_b0.bin" 519 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/M27260_V2.3_WW_01.1609.00_AT_NAND.fls" 713 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/01ov2680_th10_0_coho.aiqb" 207 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libmdp_omx_core.so" 1023 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/power_hal_helper" 102 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/liblct.so" 1299 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov5648-tc10ra3_1_coho.aiqb" 151 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_ATT_ENS_support_enabled.tlv" 556 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/ingredients.conf" 319 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libandroidfw.so" 800 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_Smarti5G_band_config_update_CMCC_PR2.tlv" 584 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/aware/GestureModel/am/feat.params" 228 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_csd_off.tlv" 604 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/Dptf.so" 772 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libOpenSLES.so" 793 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_sim_detection_deactivate.tlv" 616 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libmedia.so" 843 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/nb/libbinder.so" 906 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libblas.so" 1108 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libfilterpack_imageproc.so" 826 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libprocessgroup.so" 861 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/amtl_moorefield_XMM_6360.cfg" 373 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libstagefright_enc_common.so" 877 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libsventx.so" 1338 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_CHT_HR_nominal_transmit_settings.tlv" 660 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libcompiler_rt.so" 817 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libpvl_jni.so" 1038 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libgui.so" 829 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libstagefright_soft_aacdec_mdp.so" 1331 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/MECPU_EMER_5_GNSS_2.0.ptc" 299 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/catalog/7262_V2_CMCC_dataonly/TDSCDMA_activate_overlay.xml" 415 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/XMM7160_CONF_5.xml" 339 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/librpc_jni.so" 1047 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/liboemcrypto.so" 1028 
/dev/block/mmcblk0p8 179:8 "/vendor/app/AwareHubPure/AwareHubPure.apk" 32 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_ATT_GPRS_EGPRS_multi_slot_class_10.tlv" 560 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libRSDriver.so" 1094 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/01ov2680.r2_cht_mrd.aiqb" 206 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_M2_7262_USB_HS_manual_coredump_setup.tlv" 578 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/01hm2051.aiqb" 189 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libpcp.so" 1030 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/catalog/7260_V2_dataonly_allbands/lte_tdd_coexistence_config.xml" 411 
